time_stamp,sitting,standing,walking,grazing,x_0,x_29,x_59,x_89,x_119,x_149,x_179,x_209,x_239,x_269,y_0,y_29,y_59,y_89,y_119,y_149,y_179,y_209,y_239,y_269,z_0,z_29,z_59,z_89,z_119,z_149,z_179,z_209,z_239,z_269
2019-02-04T18:12:23,0,1,0,0,-0.133,-0.113,-0.121,-0.141,-0.129,-0.125,-0.113,-0.109,-0.109,-0.113,0.813,0.793,0.805,0.801,0.793,0.801,0.805,0.805,0.809,0.793,0.594,0.582,0.582,0.59,0.586,0.59,0.586,0.598,0.594,0.598
2019-02-04T18:12:33,0,1,0,0,-0.113,-0.109,-0.102,-0.148,-0.145,-0.141,-0.16,-0.172,-0.148,-0.168,0.801,0.793,0.813,0.793,0.785,0.785,0.805,0.789,0.793,0.785,0.574,0.594,0.586,0.598,0.602,0.598,0.602,0.59,0.598,0.602
2019-02-04T18:12:43,0,1,0,0,-0.152,-0.156,-0.148,-0.145,-0.133,-0.141,-0.145,-0.141,-0.129,-0.121,0.797,0.785,0.781,0.793,0.797,0.781,0.781,0.785,0.797,0.777,0.594,0.598,0.602,0.605,0.602,0.605,0.59,0.598,0.598,0.602
2019-02-04T18:12:53,0,1,0,0,-0.137,-0.113,-0.129,-0.117,-0.109,-0.125,-0.113,-0.117,-0.137,-0.109,0.797,0.762,0.77,0.785,0.785,0.789,0.789,0.789,0.785,0.785,0.598,0.605,0.609,0.609,0.605,0.605,0.605,0.617,0.617,0.609
2019-02-04T18:13:03,0,1,0,0,-0.102,-0.113,-0.109,-0.102,-0.105,-0.094,-0.105,-0.09,-0.094,-0.102,0.801,0.777,0.789,0.781,0.777,0.785,0.777,0.785,0.789,0.773,0.602,0.605,0.617,0.617,0.609,0.613,0.605,0.613,0.613,0.613
2019-02-04T18:13:13,0,1,0,0,-0.098,-0.094,-0.109,-0.078,-0.086,-0.082,-0.078,-0.09,-0.082,-0.09,0.793,0.773,0.789,0.781,0.789,0.789,0.785,0.781,0.777,0.777,0.617,0.625,0.602,0.602,0.613,0.602,0.617,0.617,0.609,0.617
2019-02-04T18:13:23,0,1,0,0,-0.086,-0.094,-0.086,-0.078,-0.094,-0.09,-0.09,-0.082,-0.09,-0.09,0.789,0.785,0.773,0.773,0.785,0.781,0.781,0.785,0.785,0.777,0.625,0.621,0.625,0.621,0.625,0.617,0.621,0.613,0.621,0.617
2019-02-04T18:13:33,0,1,0,0,-0.082,-0.086,-0.082,-0.07,-0.078,-0.102,-0.09,-0.094,-0.074,-0.086,0.781,0.777,0.789,0.707,0.805,0.797,0.797,0.797,0.793,0.797,0.617,0.609,0.613,0.648,0.594,0.582,0.59,0.602,0.602,0.602
2019-02-04T18:13:43,0,1,0,0,-0.113,-0.09,-0.09,-0.094,-0.09,-0.098,-0.094,-0.09,-0.086,-0.094,0.793,0.793,0.805,0.793,0.793,0.793,0.797,0.797,0.797,0.785,0.598,0.59,0.602,0.598,0.594,0.598,0.598,0.602,0.602,0.598
2019-02-04T18:13:53,0,1,0,0,-0.105,-0.09,-0.105,-0.094,-0.078,-0.082,-0.086,-0.09,-0.082,-0.086,0.797,0.793,0.813,0.773,0.801,0.809,0.801,0.793,0.809,0.82,0.594,0.598,0.598,0.57,0.59,0.59,0.594,0.586,0.586,0.586
2019-02-04T18:14:03,0,1,0,0,-0.074,-0.078,-0.094,-0.078,-0.082,-0.078,-0.062,-0.059,-0.066,-0.062,0.824,0.789,0.793,0.793,0.805,0.797,0.793,0.801,0.797,0.793,0.586,0.586,0.586,0.594,0.594,0.602,0.594,0.598,0.598,0.594
2019-02-04T18:14:13,0,1,1,0,-0.07,-0.051,-0.074,-0.078,-0.066,-0.074,-0.074,-0.074,-0.078,-0.062,0.801,0.805,0.797,0.801,0.797,0.797,0.801,0.797,0.805,0.805,0.59,0.594,0.59,0.59,0.59,0.59,0.59,0.594,0.59,0.578
2019-02-04T18:14:23,0,1,0,0,-0.066,-0.078,-0.082,-0.012,0.004,-0.227,-0.176,-0.141,-0.078,-0.09,0.805,0.797,0.766,0.781,0.789,0.691,0.715,0.785,0.777,0.766,0.578,0.582,0.621,0.633,0.676,0.559,0.68,0.594,0.617,0.613
2019-02-04T18:14:33,0,1,0,0,-0.074,-0.121,-0.125,-0.148,-0.172,-0.031,-0.152,-0.172,-0.254,-0.203,0.797,0.789,0.777,0.758,0.758,0.754,0.762,0.77,0.793,0.746,0.617,0.617,0.621,0.621,0.621,0.539,0.605,0.633,0.57,0.637
2019-02-04T18:14:43,0,1,1,0,-0.199,-0.184,0.008,-0.039,-0.059,-0.145,-0.23,-0.191,-0.129,-0.074,0.777,0.77,0.813,0.781,0.77,0.695,0.746,1.129,0.645,0.801,0.602,0.602,0.805,0.633,0.629,0.77,0.645,0.727,0.488,0.629
2019-02-04T18:14:53,0,1,0,0,-0.145,-0.086,-0.145,-0.168,0.066,-0.039,-0.02,-0.02,-0.062,-0.09,0.738,0.75,0.754,0.73,0.906,0.75,0.754,0.738,0.789,0.699,0.684,0.602,0.645,0.582,0.707,0.621,0.66,0.668,0.598,0.684
