time_stamp,x,y,z,sitting,standing,walking,grazing,z_score_x,z_score_y,z_score_z
2018-12-10 13:54:55,-0.266,0.852,0.465,0,1,0,0,-1.404,0.588,0.157
2018-12-10 13:54:56,-0.187,0.871,0.457,0,1,0,0,-1.204,0.691,0.101
2018-12-10 13:54:57,-0.246,0.852,0.445,0,1,0,0,-1.354,0.588,0.017
2018-12-10 13:54:58,-0.238,0.898,0.422,0,1,0,0,-1.333,0.836,-0.144
2018-12-10 13:54:59,-0.195,0.883,0.398,0,1,0,0,-1.224,0.755,-0.312
2018-12-10 13:55:00,-0.289,0.938,0.43,0,1,0,0,-1.463,1.051,-0.088
2018-12-10 13:55:01,-0.234,0.867,0.402,0,1,0,0,-1.323,0.669,-0.284
2018-12-10 13:55:02,-0.258,0.93,0.414,0,1,0,0,-1.384,1.008,-0.2
2018-12-10 13:55:03,-0.184,0.793,0.445,0,1,0,0,-1.196,0.272,0.017
2018-12-10 13:55:04,-0.246,0.879,0.43,0,1,0,0,-1.354,0.734,-0.088
2018-12-10 13:55:05,-0.297,0.93,0.512,0,1,0,0,-1.483,1.008,0.486
2018-12-10 13:55:06,-0.195,0.805,0.426,0,1,0,0,-1.224,0.336,-0.116
2018-12-10 13:55:07,-0.211,0.922,0.418,0,1,0,0,-1.265,0.965,-0.172
2018-12-10 13:55:08,-0.199,0.906,0.352,0,1,0,0,-1.234,0.879,-0.634
2018-12-10 13:55:09,-0.156,0.973,0.512,0,1,0,0,-1.125,1.239,0.486
2018-12-10 13:55:10,-0.234,0.844,0.391,0,1,0,0,-1.323,0.546,-0.361
2018-12-10 13:55:11,-0.223,0.859,0.395,0,1,0,0,-1.295,0.626,-0.333
2018-12-10 13:55:12,-0.219,0.891,0.402,0,1,0,0,-1.285,0.798,-0.284
2018-12-10 13:55:13,-0.207,0.895,0.418,0,1,0,0,-1.254,0.82,-0.172
2018-12-10 13:55:14,-0.223,0.855,0.398,0,1,0,0,-1.295,0.605,-0.312
2018-12-10 13:55:15,-0.223,0.906,0.41,0,1,0,0,-1.295,0.879,-0.228
2018-12-10 13:55:16,-0.207,0.918,0.41,0,1,0,0,-1.254,0.943,-0.228
2018-12-10 13:55:17,-0.203,0.926,0.398,0,1,0,0,-1.244,0.986,-0.312
2018-12-10 13:55:18,-0.172,0.879,0.391,0,1,0,0,-1.165,0.734,-0.361
2018-12-10 13:55:19,-0.09,0.898,0.434,0,1,0,0,-0.957,0.836,-0.06
2018-12-10 13:55:20,-0.125,0.871,0.445,0,1,0,0,-1.046,0.691,0.017
2018-12-10 13:55:21,-0.133,0.887,0.434,0,1,0,0,-1.066,0.777,-0.06
2018-12-10 13:55:22,-0.047,0.922,0.434,0,1,0,0,-0.848,0.965,-0.06
2018-12-10 13:55:23,-0.059,0.91,0.441,0,1,0,0,-0.878,0.9,-0.011
2018-12-10 13:55:24,-0.047,0.91,0.477,0,1,0,0,-0.848,0.9,0.241
2018-12-10 13:55:25,-0.137,0.816,0.531,0,1,0,0,-1.076,0.395,0.62
2018-12-10 13:55:26,-0.148,0.82,0.504,0,1,0,0,-1.104,0.417,0.43
2018-12-10 13:55:27,-0.184,0.848,0.496,0,1,0,0,-1.196,0.567,0.374
2018-12-10 13:55:28,-0.16,0.891,0.453,0,1,0,0,-1.135,0.798,0.073
2018-12-10 13:55:29,-0.164,0.879,0.441,0,1,0,0,-1.145,0.734,-0.011
2018-12-10 13:55:30,-0.172,0.879,0.438,0,1,0,0,-1.165,0.734,-0.032
2018-12-10 13:55:31,-0.07,0.891,0.449,0,1,0,0,-0.906,0.798,0.045
2018-12-10 13:55:32,-0.086,0.863,0.449,0,1,0,0,-0.947,0.648,0.045
2018-12-10 13:55:33,-0.078,0.887,0.445,0,1,0,0,-0.926,0.777,0.017
2018-12-10 13:55:34,-0.121,0.883,0.449,0,1,0,0,-1.036,0.755,0.045
2018-12-10 13:55:35,-0.109,0.836,0.488,0,1,0,0,-1.005,0.503,0.318
2018-12-10 13:55:36,-0.129,0.879,0.441,0,1,0,0,-1.056,0.734,-0.011
2018-12-10 13:55:37,-0.16,0.871,0.445,0,1,0,0,-1.135,0.691,0.017
2018-12-10 13:55:38,-0.129,0.902,0.445,0,1,0,0,-1.056,0.857,0.017
2018-12-10 13:55:39,-0.133,0.895,0.426,0,1,0,0,-1.066,0.82,-0.116
2018-12-10 13:55:40,-0.121,0.887,0.434,0,1,0,0,-1.036,0.777,-0.06
2018-12-10 13:55:41,-0.125,0.875,0.418,0,1,0,0,-1.046,0.712,-0.172
2018-12-10 13:55:42,-0.148,0.887,0.426,0,1,0,0,-1.104,0.777,-0.116
2018-12-10 13:55:43,-0.16,0.863,0.418,0,1,0,0,-1.135,0.648,-0.172
2018-12-10 13:55:44,-0.148,0.816,0.465,0,1,0,0,-1.104,0.395,0.157
2018-12-10 13:55:45,-0.051,0.723,0.316,0,1,0,0,-0.858,-0.105,-0.886
2018-12-10 13:55:46,-0.184,0.879,0.434,0,1,0,0,-1.196,0.734,-0.06
2018-12-10 13:55:47,-0.125,0.875,0.41,0,1,0,0,-1.046,0.712,-0.228
2018-12-10 13:55:48,-0.062,0.977,0.516,0,1,0,0,-0.886,1.26,0.514
2018-12-10 13:55:49,-0.145,0.898,0.402,0,1,0,0,-1.097,0.836,-0.284
2018-12-10 13:55:50,-0.094,0.914,0.387,0,1,0,0,-0.967,0.922,-0.389
2018-12-10 13:55:51,-0.094,0.801,0.43,0,1,0,0,-0.967,0.314,-0.088
2018-12-10 13:55:52,-0.016,0.914,0.445,0,1,0,0,-0.769,0.922,0.017
2018-12-10 13:55:53,0.238,0.805,0.453,0,1,0,0,-0.123,0.336,0.073
2018-12-10 13:55:54,0.191,0.633,0.656,0,1,0,0,-0.242,-0.588,1.495
2018-12-10 13:55:55,-0.086,0.945,0.496,0,1,0,0,-0.947,1.088,0.374
2018-12-10 13:55:56,-0.051,0.938,0.234,0,1,0,0,-0.858,1.051,-1.461
2018-12-10 13:55:57,-0.184,0.766,0.387,0,1,0,0,-1.196,0.126,-0.389
2018-12-10 13:55:58,-0.215,0.922,0.391,0,1,0,0,-1.275,0.965,-0.361
2018-12-10 13:55:59,-0.18,0.895,0.32,0,1,0,0,-1.186,0.82,-0.858
2018-12-10 13:56:00,-0.207,0.828,0.41,0,1,0,0,-1.254,0.46,-0.228
2018-12-10 13:56:01,-0.184,0.891,0.367,0,1,0,0,-1.196,0.798,-0.529
2018-12-10 13:56:02,-0.027,0.828,0.332,0,1,0,0,-0.797,0.46,-0.774
2018-12-10 13:56:03,-0.234,0.781,0.406,0,1,0,0,-1.323,0.207,-0.256
2018-12-10 13:56:04,-0.187,0.969,0.402,0,1,0,0,-1.204,1.217,-0.284
2018-12-10 13:56:05,-0.191,0.852,0.414,0,1,0,0,-1.214,0.588,-0.2
2018-12-10 13:56:06,-0.187,1.086,0.469,0,1,0,0,-1.204,1.846,0.185
2018-12-10 13:56:07,-0.25,0.926,0.348,0,1,0,0,-1.364,0.986,-0.662
2018-12-10 13:56:08,-0.141,1.0,0.461,0,1,0,0,-1.087,1.384,0.129
2018-12-10 13:56:09,-0.238,0.945,0.348,0,1,0,0,-1.333,1.088,-0.662
2018-12-10 13:56:10,-0.297,1.027,0.492,0,1,0,0,-1.483,1.529,0.346
2018-12-10 13:56:11,-0.18,0.957,0.344,0,1,0,0,-1.186,1.153,-0.69
2018-12-10 13:56:12,-0.164,0.922,0.375,0,1,0,0,-1.145,0.965,-0.473
2018-12-10 13:56:13,-0.129,0.883,0.355,0,1,0,0,-1.056,0.755,-0.613
2018-12-10 13:56:14,-0.133,0.93,0.375,0,1,0,0,-1.066,1.008,-0.473
2018-12-10 13:56:15,-0.152,0.883,0.387,0,1,0,0,-1.115,0.755,-0.389
2018-12-10 13:56:16,-0.133,0.902,0.391,0,1,0,0,-1.066,0.857,-0.361
2018-12-10 13:56:17,-0.156,0.859,0.379,0,1,0,0,-1.125,0.626,-0.445
2018-12-10 13:56:18,-0.148,0.91,0.387,0,1,0,0,-1.104,0.9,-0.389
2018-12-10 13:56:19,-0.16,0.906,0.41,0,1,0,0,-1.135,0.879,-0.228
2018-12-10 13:56:20,-0.145,0.848,0.383,0,1,0,0,-1.097,0.567,-0.417
2018-12-10 13:56:21,-0.195,0.953,0.379,0,1,0,0,-1.224,1.131,-0.445
2018-12-10 13:56:22,-0.156,0.91,0.398,0,1,0,0,-1.125,0.9,-0.312
2018-12-10 13:56:23,-0.148,0.895,0.367,0,1,0,0,-1.104,0.82,-0.529
2018-12-10 13:56:24,-0.18,0.941,0.383,0,1,0,0,-1.186,1.067,-0.417
2018-12-10 13:56:25,-0.172,0.918,0.391,0,1,0,0,-1.165,0.943,-0.361
2018-12-10 13:56:26,-0.164,0.906,0.406,0,1,0,0,-1.145,0.879,-0.256
2018-12-10 13:56:27,-0.168,0.91,0.41,0,1,0,0,-1.155,0.9,-0.228
2018-12-10 13:56:28,-0.172,0.914,0.398,0,1,0,0,-1.165,0.922,-0.312
2018-12-10 13:56:29,-0.168,0.906,0.387,0,1,0,0,-1.155,0.879,-0.389
