x,y,z,sitting,standing,walking,grazing
0.219,0.676,0.586,0,1,0,0
0.238,0.793,0.508,0,1,0,0
0.262,0.723,0.555,0,1,0,0
0.223,0.793,0.488,0,1,0,0
0.297,0.898,0.617,0,1,0,0
0.199,0.805,0.488,0,1,0,0
0.168,0.926,0.574,0,1,0,0
0.188,0.844,0.473,0,1,0,0
0.145,0.793,0.52,0,1,0,0
0.207,0.84,0.5,0,1,0,0
0.281,0.75,0.449,0,1,0,0
0.156,0.77,0.609,0,1,0,0
0.082,0.629,0.711,0,1,0,0
0.016,1.008,0.617,0,1,0,0
0.258,0.766,0.477,0,1,0,0
0.586,0.703,0.313,0,1,0,0
0.609,0.746,0.25,0,1,0,0
0.59,0.73,0.281,0,1,0,0
0.598,0.734,0.254,0,1,0,0
0.637,0.746,0.297,0,1,0,0
0.473,0.629,0.473,0,1,0,0
0.25,0.66,0.652,0,1,0,0
0.25,0.578,0.672,0,1,0,0
0.332,0.68,0.559,0,1,0,0
0.211,0.863,0.609,0,1,0,0
-0.125,0.965,0.625,0,1,0,0
-0.125,0.859,0.391,0,1,0,0
-0.109,1.098,0.543,0,1,0,0
0.348,0.863,0.516,0,1,0,0
0.301,0.695,0.516,0,1,0,0
0.133,0.828,0.539,0,1,0,0
0.148,0.742,0.527,0,1,0,0
0.137,0.801,0.516,0,1,0,0
0.285,0.703,0.43,0,1,0,0
0.102,0.777,0.613,0,1,0,0
0.238,0.738,0.367,0,1,0,0
0.18,0.797,0.406,0,1,0,0
0.23,0.715,0.426,0,1,0,0
0.207,0.879,0.441,0,1,0,0
0.27,0.715,0.316,0,1,0,0
0.133,0.855,0.426,0,1,0,0
0.242,1.109,0.473,0,1,0,0
0.203,1.227,0.605,0,1,0,0
-0.164,1.07,0.375,0,1,0,0
-0.187,1.188,0.254,0,1,0,0
-0.102,0.809,0.176,0,1,0,0
-0.172,0.938,0.301,0,1,0,0
-0.105,0.844,0.398,0,1,0,0
-0.117,1.09,0.504,0,1,0,0
-0.109,0.914,0.289,0,1,0,0
-0.18,0.93,0.316,0,1,0,0
-0.254,0.902,0.375,0,1,0,0
-0.152,0.926,0.355,0,1,0,0
-0.176,0.988,0.332,0,1,0,0
-0.234,0.867,0.34,0,1,0,0
-0.172,0.906,0.355,0,1,0,0
-0.16,0.883,0.363,0,1,0,0
-0.18,0.91,0.379,0,1,0,0
-0.152,0.891,0.379,0,1,0,0
-0.219,0.895,0.387,0,1,0,0
-0.184,0.922,0.395,0,1,0,0
-0.148,0.891,0.387,0,1,0,0
-0.164,0.902,0.398,0,1,0,0
-0.133,0.887,0.383,0,1,0,0
-0.16,0.883,0.379,0,1,0,0
-0.117,0.871,0.379,0,1,0,0
-0.117,0.855,0.371,0,1,0,0
-0.176,0.906,0.387,0,1,0,0
-0.176,0.875,0.438,0,1,0,0
-0.199,0.867,0.445,0,1,0,0
-0.102,0.855,0.348,0,1,0,0
-0.223,0.855,0.387,0,1,0,0
-0.098,0.824,0.305,0,1,0,0
-0.141,0.82,0.367,0,1,0,0
-0.148,0.922,0.25,0,1,0,0
-0.098,0.855,0.422,0,1,0,0
-0.145,0.836,0.375,0,1,0,0
-0.273,1.004,0.527,0,1,0,0
-0.164,0.684,0.715,0,1,0,0
-0.145,0.801,0.641,0,1,0,0
-0.168,0.883,0.355,0,1,0,0
-0.184,0.93,0.516,0,1,0,0
-0.18,0.922,0.387,0,1,0,0
-0.348,1.016,0.531,0,1,0,0
0.211,0.855,0.48,0,1,0,0
0.188,0.84,0.445,0,1,0,0
0.203,0.965,0.609,0,1,0,0
0.094,0.801,0.477,0,1,0,0
0.074,0.699,0.68,0,1,0,0
0.273,0.84,0.707,0,1,0,0
0.164,0.766,0.574,0,1,0,0
0.164,0.984,0.699,0,1,0,0
0.078,0.805,0.566,0,1,0,0
0.105,0.793,0.555,0,1,0,0
-0.004,1.012,0.66,0,1,0,0
0.52,0.691,0.461,0,1,0,0
0.5,0.707,0.492,0,1,0,0
0.52,0.691,0.449,0,1,0,0
0.512,0.707,0.461,0,1,0,0
0.574,0.645,0.48,0,1,0,0
0.559,0.641,0.488,0,1,0,0
0.57,0.629,0.523,0,1,0,0
0.191,0.625,0.5,0,1,0,0
0.16,0.82,0.492,0,1,0,0
0.07,0.719,0.598,0,1,0,0
0.125,0.824,0.563,0,1,0,0
0.148,0.84,0.621,0,1,0,0
0.156,0.82,0.539,0,1,0,0
-0.02,0.504,0.723,0,1,0,0
0.012,0.707,0.094,0,1,0,0
-0.066,0.895,0.293,0,1,0,0
-0.105,0.863,0.328,0,1,0,0
-0.164,0.699,0.148,0,1,0,0
-0.176,0.832,0.355,0,1,0,0
-0.078,0.758,0.262,0,1,0,0
0.34,0.723,0.539,0,1,0,0
0.355,0.758,0.539,0,1,0,0
0.309,0.727,0.535,0,1,0,0
0.344,0.754,0.586,0,1,0,0
0.316,0.773,0.563,0,1,0,0
0.324,0.707,0.523,0,1,0,0
0.625,0.551,-0.156,0,1,0,0
0.531,1.113,0.441,0,1,0,0
-0.387,0.277,0.688,0,1,0,0
-0.039,0.855,0.129,0,1,0,0
0.375,0.844,0.328,0,1,0,0
0.348,0.848,0.34,0,1,0,0
0.379,0.832,0.34,0,1,0,0
0.406,0.84,0.344,0,1,0,0
0.418,0.844,0.336,0,1,0,0
0.414,0.852,0.313,0,1,0,0
0.367,0.883,0.27,0,1,0,0
0.336,0.875,0.234,0,1,0,0
0.348,1.207,0.414,0,1,0,0
-0.02,1.008,0.32,0,1,0,0
-0.137,0.902,0.379,0,1,0,0
-0.156,0.914,0.379,0,1,0,0
-0.168,0.91,0.387,0,1,0,0
-0.187,0.883,0.383,0,1,0,0
-0.18,0.918,0.371,0,1,0,0
-0.141,0.891,0.367,0,1,0,0
-0.172,0.918,0.387,0,1,0,0
-0.168,0.918,0.371,0,1,0,0
-0.125,0.906,0.395,0,1,0,0
-0.164,0.906,0.387,0,1,0,0
-0.117,0.914,0.383,0,1,0,0
-0.141,0.906,0.402,0,1,0,0
-0.145,0.891,0.383,0,1,0,0
-0.187,0.832,0.441,0,1,0,0
-0.168,0.914,0.391,0,1,0,0
-0.129,0.918,0.379,0,1,0,0
-0.133,0.902,0.383,0,1,0,0
-0.141,0.902,0.398,0,1,0,0
-0.156,0.902,0.398,0,1,0,0
-0.176,0.91,0.398,0,1,0,0
-0.148,0.891,0.398,0,1,0,0
-0.164,0.895,0.402,0,1,0,0
-0.191,0.898,0.402,0,1,0,0
-0.184,0.871,0.395,0,1,0,0
-0.176,0.887,0.441,0,1,0,0
-0.184,0.887,0.422,0,1,0,0
-0.187,0.863,0.438,0,1,0,0
-0.176,0.879,0.402,0,1,0,0
-0.176,0.871,0.422,0,1,0,0
-0.195,0.898,0.422,0,1,0,0
-0.16,0.883,0.41,0,1,0,0
-0.187,0.871,0.426,0,1,0,0
-0.172,0.883,0.414,0,1,0,0
-0.187,0.895,0.41,0,1,0,0
-0.18,0.875,0.383,0,1,0,0
-0.227,0.891,0.406,0,1,0,0
-0.223,0.898,0.406,0,1,0,0
-0.242,0.887,0.41,0,1,0,0
-0.203,0.883,0.402,0,1,0,0
-0.195,0.875,0.438,0,1,0,0
-0.199,0.875,0.418,0,1,0,0
-0.215,0.871,0.449,0,1,0,0
-0.215,0.875,0.418,0,1,0,0
-0.203,0.844,0.41,0,1,0,0
-0.234,0.887,0.402,0,1,0,0
-0.191,0.891,0.398,0,1,0,0
-0.223,0.902,0.383,0,1,0,0
-0.207,0.883,0.41,0,1,0,0
-0.215,0.875,0.41,0,1,0,0
-0.207,0.871,0.402,0,1,0,0
-0.211,0.883,0.422,0,1,0,0
-0.199,0.867,0.426,0,1,0,0
-0.207,0.879,0.414,0,1,0,0
-0.254,0.875,0.41,0,1,0,0
-0.191,0.863,0.438,0,1,0,0
-0.199,0.879,0.434,0,1,0,0
-0.184,0.867,0.414,0,1,0,0
-0.207,0.879,0.391,0,1,0,0
-0.223,0.898,0.406,0,1,0,0
-0.195,0.879,0.395,0,1,0,0
-0.242,0.91,0.383,0,1,0,0
-0.203,0.875,0.402,0,1,0,0
-0.211,0.883,0.387,0,1,0,0
-0.199,0.887,0.406,0,1,0,0
-0.195,0.883,0.402,0,1,0,0
-0.187,0.895,0.387,0,1,0,0
-0.195,0.883,0.391,0,1,0,0
-0.199,0.898,0.395,0,1,0,0
-0.137,0.906,0.379,0,1,0,0
-0.148,0.918,0.395,0,1,0,0
-0.145,0.875,0.438,0,1,0,0
-0.125,0.891,0.395,0,1,0,0
-0.18,0.93,0.391,0,1,0,0
-0.16,0.879,0.418,0,1,0,0
-0.16,0.871,0.414,0,1,0,0
-0.172,0.883,0.414,0,1,0,0
-0.184,0.887,0.414,0,1,0,0
-0.152,0.887,0.422,0,1,0,0
-0.187,0.887,0.418,0,1,0,0
-0.156,0.879,0.418,0,1,0,0
-0.148,0.914,0.383,0,1,0,0
-0.172,0.879,0.391,0,1,0,0
-0.18,0.887,0.398,0,1,0,0
